id,Lat,Lon,Coordinates,area,population
relation/326595,55.795422744444444,37.77217615,"[(55.7951563, 37.7749311), (55.7951635, 37.7749844), (55.7951734, 37.7750336), (55.795192, 37.7750934), (55.7952159, 37.775139), (55.7952371, 37.7751637), (55.7952603, 37.775179), (55.7952891, 37.7751872), (55.7953193, 37.7751884), (55.7977895, 37.7750253), (55.7978372, 37.7749732), (55.7985346, 37.7693925), (55.7985284, 37.7693485), (55.7985111, 37.7693177), (55.7984888, 37.7693081), (55.7945565, 37.7695102), (55.7945349, 37.7695132), (55.7945128, 37.7695256), (55.7945031, 37.7695356), (55.794495, 37.7695457), (55.7944858, 37.7695557), (55.794477, 37.7695797), (55.7944736, 37.7695901), (55.7944691, 37.769611), (55.7944651, 37.7696362), (55.7944642, 37.7696755), (55.7944649, 37.7696976), (55.7944653, 37.7697104), (55.7944697, 37.769757), (55.7948086, 37.7723485), (55.7951093, 37.7745823), (55.7951171, 37.7745782), (55.795162, 37.7745545), (55.7951927, 37.7748063), (55.7951393, 37.7748319), (55.7951563, 37.7749311)]",134192.8873936066,3421
relation/326609,55.79641405135135,37.77682341891892,"[(55.7978211, 37.7753293), (55.7978211, 37.77531), (55.7978195, 37.775291), (55.7978164, 37.7752726), (55.7978118, 37.7752551), (55.7978059, 37.775239), (55.7977988, 37.7752245), (55.7977905, 37.775212), (55.7977814, 37.7752018), (55.7977715, 37.7751939), (55.7977611, 37.7751887), (55.7960903, 37.7752825), (55.796004, 37.7753674), (55.7957697, 37.7753861), (55.7956516, 37.7753071), (55.7953417, 37.7753245), (55.795326, 37.7753264), (55.7953106, 37.7753326), (55.795296, 37.775343), (55.7952824, 37.7753574), (55.7952702, 37.7753753), (55.7952598, 37.7753963), (55.7952513, 37.77542), (55.795245, 37.7754457), (55.795241, 37.7754729), (55.7952394, 37.7755008), (55.7952403, 37.7755289), (55.7952436, 37.7755563), (55.7962311, 37.7821974), (55.7962491, 37.7822276), (55.7962693, 37.7822532), (55.7962912, 37.7822737), (55.7963145, 37.7822887), (55.7963387, 37.7822979), (55.7969487, 37.7821118), (55.7969942, 37.7820458), (55.7978211, 37.7753293)]",81555.95684898342,1834
relation/331664,55.79796385833333,37.78525581666667,"[(55.7970313, 37.7824416), (55.7969017, 37.7836432), (55.7969412, 37.7879382), (55.7969822, 37.7879829), (55.7983801, 37.7879259), (55.7990231, 37.7878997), (55.7990573, 37.7878983), (55.7990963, 37.7878142), (55.7990629, 37.7824132), (55.7989897, 37.7822948), (55.7970692, 37.7823762), (55.7970313, 37.7824416)]",83969.61174000916,1053
relation/338744,55.809046124,37.498974296,"[(55.80809, 37.5019168), (55.808676, 37.5022657), (55.8088583, 37.5012773), (55.8089377, 37.5008467), (55.8089614, 37.5007181), (55.8090352, 37.5007612), (55.8091064, 37.5003749), (55.8090312, 37.500331), (55.8090337, 37.5000393), (55.8093244, 37.4985043), (55.8091221, 37.4983845), (55.8091931, 37.4980126), (55.8093, 37.497453), (55.809544, 37.4976094), (55.8098653, 37.4973472), (55.8098877, 37.4972315), (55.8096471, 37.4970621), (55.8096321, 37.497053), (55.8090122, 37.4966772), (55.8089847, 37.4966638), (55.8089621, 37.4966651), (55.8089421, 37.4966846), (55.8089308, 37.496706), (55.8079855, 37.5018553), (55.80809, 37.5019168)]",26537.22421464126,556
relation/393194,55.518921042424246,37.43495843939394,"[(55.5177993, 37.4462983), (55.5179241, 37.4464205), (55.5181048, 37.4467164), (55.5181933, 37.4468419), (55.5184153, 37.447157), (55.5184954, 37.4470754), (55.5194351, 37.4461181), (55.5198335, 37.4442497), (55.5204691, 37.4430516), (55.521579, 37.4418116), (55.5216881, 37.4417362), (55.521764, 37.4410324), (55.5221055, 37.4407224), (55.522409, 37.4406889), (55.5228833, 37.4404375), (55.5231252, 37.4413675), (55.5232652, 37.4413415), (55.5236611, 37.4412502), (55.5239314, 37.439474), (55.5239246, 37.4382853), (55.5241096, 37.4369699), (55.5249016, 37.4343307), (55.5253853, 37.4338113), (55.5249822, 37.4324372), (55.5247071, 37.4319764), (55.5241738, 37.4311119), (55.5237471, 37.4312981), (55.5237211, 37.431195), (55.5236807, 37.4310289), (55.5238896, 37.4307235), (55.5246657, 37.4241864), (55.523672, 37.4202741), (55.5222997, 37.4216451), (55.5214318, 37.4236779), (55.5212243, 37.4238874), (55.5209131, 37.4237434), (55.5206907, 37.4241623), (55.5195642, 37.4253536), (55.5187564, 37.4267413), (55.5185637, 37.4273173), (55.5186823, 37.4274875), (55.5180301, 37.4278279), (55.5175113, 37.4266104), (55.5156583, 37.4265056), (55.5153248, 37.427134), (55.5144798, 37.42699), (55.5135607, 37.4271471), (55.513064, 37.4263355), (55.51256, 37.4266758), (55.5125452, 37.4275398), (55.5126638, 37.4292155), (55.5129084, 37.4314279), (55.5130047, 37.4331036), (55.5131752, 37.4340985), (55.5131011, 37.4342949), (55.5132477, 37.4369127), (55.513259, 37.4392729), (55.5135815, 37.4393819), (55.5135199, 37.439784), (55.5138031, 37.4399198), (55.5140246, 37.440026), (55.514184, 37.4401024), (55.514962, 37.4410994), (55.5152798, 37.4417362), (55.5147722, 37.4423813), (55.5177993, 37.4462983)]",1427996.108667424,6071
relation/934119,55.867446811904756,37.66879066190476,"[(55.8656264, 37.6749111), (55.8661929, 37.6750276), (55.8678664, 37.6751834), (55.8678988, 37.6751672), (55.867918, 37.6751351), (55.8691129, 37.6675731), (55.8695137, 37.6649838), (55.8695172, 37.664917), (55.8695032, 37.6648381), (55.8694758, 37.6647632), (55.8694501, 37.6647113), (55.8694054, 37.6646703), (55.8689875, 37.6644641), (55.8689481, 37.6643819), (55.8672147, 37.6635241), (55.8671389, 37.6635819), (55.8664789, 37.667583), (55.8659124, 37.6712932), (55.8656175, 37.6733352), (55.8655681, 37.6747627), (55.8655734, 37.6748228), (55.865593, 37.6748738), (55.8656264, 37.6749111), (55.8675558, 37.6668338), (55.8679642, 37.6670383), (55.8680141, 37.6670633), (55.8679065, 37.6677456), (55.8674482, 37.667516), (55.8675558, 37.6668338), (55.867574, 37.666693), (55.8673232, 37.6665703), (55.8676148, 37.6647286), (55.8679794, 37.6649119), (55.8680983, 37.6649717), (55.8679444, 37.6659085), (55.8677769, 37.6658274), (55.867574, 37.666693), (55.8658536, 37.6721214), (55.8658958, 37.6718325), (55.8663658, 37.6720553), (55.866328, 37.672327), (55.8658536, 37.6721214)]",202310.7905704286,3872
relation/1193201,55.877794816666665,37.70208563333333,"[(55.8786554, 37.6997562), (55.8766952, 37.7023279), (55.8760117, 37.7032246), (55.8759769, 37.7033517), (55.8760087, 37.7034683), (55.8773117, 37.7055869), (55.8774706, 37.7055102), (55.8796576, 37.701337), (55.8796568, 37.7012288), (55.878742, 37.6997482), (55.8786958, 37.6997316), (55.8786554, 37.6997562)]",68968.20546983369,2589
relation/1193202,55.877129321739126,37.710560004347826,"[(55.8785986, 37.7106371), (55.8784793, 37.7109452), (55.8784102, 37.7111178), (55.8783584, 37.7112195), (55.8781544, 37.7109483), (55.8774838, 37.7099624), (55.8768097, 37.7089911), (55.8757133, 37.707518), (55.8752832, 37.7085449), (55.8747452, 37.7079408), (55.8747028, 37.7080389), (55.8744592, 37.7077822), (55.874259, 37.7081789), (55.8749675, 37.7092214), (55.8766693, 37.7115511), (55.8769588, 37.7119473), (55.8771908, 37.712265), (55.8774682, 37.7124958), (55.877675, 37.7127791), (55.8790144, 37.7148539), (55.8799915, 37.7127068), (55.8799832, 37.7125975), (55.8785986, 37.7106371)]",89100.50986263156,1711
relation/1193203,55.876158329411766,37.69991075098039,"[(55.8758193, 37.7031232), (55.8758803, 37.7031626), (55.8759369, 37.7031403), (55.8766456, 37.7022042), (55.8785378, 37.6997048), (55.8787426, 37.699445), (55.879033, 37.6989741), (55.8803019, 37.6964302), (55.8803043, 37.6961264), (55.8801646, 37.6959275), (55.876402, 37.6957058), (55.8747951, 37.6955691), (55.8746755, 37.6955442), (55.8745709, 37.695514), (55.8745291, 37.6954852), (55.8744947, 37.6954459), (55.8730839, 37.69338), (55.8716058, 37.6964167), (55.8736184, 37.6995422), (55.8758193, 37.7031232), (55.8769447, 37.6985255), (55.8774669, 37.6985626), (55.8774554, 37.6993335), (55.8768782, 37.6992903), (55.8769447, 37.6985255), (55.8755548, 37.7015734), (55.8756068, 37.7016475), (55.8756444, 37.701701), (55.8756931, 37.7017706), (55.8754359, 37.702308), (55.8753956, 37.7022266), (55.8753584, 37.7021513), (55.8753114, 37.7020566), (55.8755548, 37.7015734), (55.8754783, 37.7015062), (55.8752375, 37.701958), (55.8751989, 37.7018963), (55.8750838, 37.7016977), (55.8750435, 37.7016294), (55.8752843, 37.7011776), (55.8753285, 37.7012476), (55.8753514, 37.7012857), (55.8754212, 37.7014015), (55.8754372, 37.7014365), (55.8754783, 37.7015062), (55.8775345, 37.7008282), (55.877481, 37.7007159), (55.8774008, 37.7005475), (55.8777303, 37.7001348), (55.8778447, 37.7004406), (55.8775345, 37.7008282)]",269432.0987057816,4604
relation/1200742,55.72279254,37.78692547142857,"[(55.7228465, 37.7864873), (55.7227969, 37.7864362), (55.7227837, 37.7863742), (55.722985, 37.785758), (55.7230003, 37.7857111), (55.7232036, 37.7859205), (55.7234238, 37.7852463), (55.723417, 37.7852161), (55.7233664, 37.7852016), (55.7229687, 37.7847898), (55.7222747, 37.7840419), (55.7220718, 37.7838156), (55.7217208, 37.7848501), (55.7213678, 37.78589), (55.7212839, 37.7861371), (55.7212485, 37.7862464), (55.7212445, 37.7863594), (55.7214537, 37.7872213), (55.721507, 37.7873126), (55.7215898, 37.7874544), (55.7223051, 37.7881905), (55.7228927, 37.7887953), (55.7234164, 37.7893343), (55.7235586, 37.7894807), (55.7240611, 37.7899744), (55.7241213, 37.7898174), (55.7242793, 37.7893535), (55.7243555, 37.7891108), (55.7243316, 37.7890879), (55.7233732, 37.7880594), (55.7230169, 37.787677), (55.7227302, 37.7873694), (55.7229751, 37.7866197), (55.722921, 37.786564), (55.7228465, 37.7864873)]",50861.489426802844,1534
