id,city_id,coords,area,quality,population
1312632,3,"POLYGON((29.9925703 60.0207737,29.9923351 60.0203753,29.9917165 60.0193393,29.9912668 60.0178437,29.9910481 60.0172869,29.9950905 60.0163545,29.9960327 60.0161427,29.9943981 60.0140946,29.9942777 60.0142118,29.9940339 60.0138848,29.9941643 60.013738,29.993609 60.0129392,29.9931928 60.0126414,29.9928305 60.0127221,29.9926043 60.0124156,29.9923936 60.0122094,29.9921683 60.0120835,29.9928579 60.0117178,29.9923375 60.0113692,29.9899796 60.0085239,29.9898333 60.0085492,29.9897205 60.0083756,29.9898403 60.0083541,29.9891598 60.0074453,29.9869081 60.0079832,29.9864859 60.0077475,29.9856045 60.0071516,29.9861646 60.0069065,29.9873712 60.0066628,29.9873605 60.0066168,29.9874893 60.0065857,29.9875409 60.0066204,29.9879004 60.0065341,29.988662 60.0062046,29.9887785 60.0060985,29.9896227 60.0058462,29.9907263 60.0056158,29.9935544 60.0049388,29.9974737 60.0033323,29.9986135 60.0032257,29.9987732 60.0031577,29.9993133 60.0030385,29.9995382 60.0031037,29.9996632 60.0032159,29.9984246 60.0037316,29.9988548 60.0041899,29.9995624 60.0048007,30.0016083 60.0044342,30.0009912 60.0037996,30.0028931 60.0034694,30.0029793 60.0035833,30.0031234 60.003563,30.0040027 60.0033917,30.0043587 60.0038479,30.0036504 60.0039836,30.0039438 60.0043349,30.0060026 60.0039859,30.0071225 60.0054737,30.0072421 60.0056309,30.008558 60.0073402,30.0091878 60.0071563,30.0098809 60.0070531,30.0104424 60.0070604,30.0106715 60.0073111,30.0112589 60.0071818,30.0115076 60.0074503,30.0113869 60.0076327,30.0110596 60.0077239,30.0110416 60.0078461,30.0113305 60.0080577,30.01215 60.0083718,30.0111185 60.0086968,30.0115182 60.0092384,30.0110093 60.0093393,30.0106895 60.0092443,30.0101075 60.0093462,30.0109443 60.0104107,30.014025 60.009843,30.0149691 60.0101776,30.0152792 60.0103085,30.01539 60.0103711,30.0154651 60.0103631,30.0154269 60.0101713,30.0154891 60.0100598,30.0165141 60.0096425,30.017377 60.0094868,30.0174818 60.0094679,30.0217924 60.0086897,30.0240156 60.0092977,30.0244769 60.0094014,30.0245986 60.0094146,30.0248184 60.0097284,30.020709 60.0105432,30.0198315 60.0106208,30.0182249 60.0107861,30.0170504 60.0109548,30.0149173 60.0115284,30.0139402 60.0117285,30.0131833 60.0120658,30.011696 60.0127726,30.0108718 60.0132072,30.0100833 60.0137622,30.00987 60.0139883,30.0098392 60.0141805,30.0098481 60.0143011,30.0098831 60.014396,30.0099329 60.0145162,30.0099967 60.0146364,30.0101193 60.0148406,30.0101323 60.0149045,30.0102268 60.0151163,30.0106125 60.0168252,30.0107938 60.0173747,30.0106648 60.0182082,30.0104845 60.0188776,30.0087944 60.0216887,30.0082885 60.0221316,30.00689 60.0235629,30.006379 60.0239698,30.0061677 60.024141,30.0055085 60.024627,30.0049189 60.0250256,30.0044094 60.0253403,30.0037895 60.0256477,30.0033711 60.0258636,30.0029608 60.0260787,30.0002824 60.0271658,29.9996334 60.027423,29.9976656 60.0281581,29.995845 60.0288255,29.9884675 60.0316185,29.9851596 60.0327369,29.9843095 60.0323837,29.9850652 60.0310914,29.9862421 60.0309886,29.9872595 60.0299412,29.9880088 60.0293686,29.9887516 60.0289635,29.9891668 60.02893,29.9897515 60.0284985,29.9899291 60.0282844,29.9867308 60.027244,29.9876321 60.0264078,29.9892837 60.0255237,29.9898024 60.0253079,29.991281 60.0245786,29.9925293 60.0240477,29.9937057 60.0235244,29.9933073 60.0229337,29.993014 60.0227907,29.9925523 60.0221258,29.9932041 60.0218476,29.9925703 60.0207737))",2802476.8477930464,,124232
1355882,3,"POLYGON((30.1663637 60.094033,30.1715836 60.0940081,30.1733722 60.0940429,30.1739408 60.094085,30.1741003 60.0943067,30.1742351 60.0945393,30.1740993 60.0945833,30.1739879 60.0948452,30.1737738 60.0950987,30.1736621 60.0953728,30.1722971 60.0955151,30.1721834 60.0957865,30.1699358 60.0953529,30.1692522 60.0953226,30.1691876 60.0954892,30.1688078 60.0954968,30.1686103 60.0954722,30.168523 60.0953377,30.1666684 60.095135,30.1664673 60.0945096,30.1664232 60.09439,30.1663637 60.094033,30.1645345 60.0943256,30.1641378 60.0949022,30.1636427 60.0952963,30.1629564 60.0954825,30.1617577 60.095751,30.1605243 60.0961277,30.1603337 60.0962189,30.1592903 60.0965402,30.1587635 60.0966127,30.1582424 60.0966845,30.156132 60.0970611,30.1560309 60.0972602,30.1549195 60.0974022,30.1544419 60.0973347,30.1512427 60.0979967,30.1510523 60.0981377,30.1502548 60.09819,30.1474424 60.0981498,30.145641 60.0981742,30.1435922 60.0984357,30.1430577 60.098278,30.1433671 60.0980676,30.1432827 60.0977976,30.1446642 60.0975758,30.1441523 60.0967889,30.1446908 60.0966955,30.1425713 60.095062,30.1420609 60.0944254,30.139879 60.0940814,30.1385767 60.0940608,30.1383421 60.0934265,30.1384101 60.0933082,30.1383117 60.0929431,30.143845 60.0929084,30.144569 60.0927393,30.1455489 60.0927732,30.1459793 60.0929336,30.1470158 60.0929363,30.1471608 60.0929367,30.1527476 60.0929709,30.1527314 60.0935454,30.1531084 60.0935997,30.1544266 60.0932883,30.1545385 60.093382,30.1552418 60.0929944,30.1560453 60.0937081,30.1585306 60.0929778,30.1600776 60.0933472,30.1610558 60.0935224,30.161723 60.093447,30.1628088 60.093434,30.1633593 60.0934851,30.1641807 60.0936655,30.1645233 60.0939788,30.1645345 60.0943256,30.1663637 60.094033))",630981.4534694096,,27532
1377048,3,"POLYGON((29.8104337 59.907936,29.809676 59.9081572,29.8086675 59.9084047,29.8079272 59.9085338,29.8072406 59.9086198,29.8066183 59.9086844,29.8060282 59.908792,29.805349 59.908901,29.8046657 59.9090179,29.8037108 59.9091631,29.8024019 59.9093514,29.8010286 59.9095504,29.8004493 59.9096257,29.799728 59.9097017,29.7990028 59.9098553,29.7984453 59.9099982,29.7978168 59.9101911,29.7971937 59.9103778,29.7964296 59.91055,29.7956893 59.9107128,29.7951126 59.9108315,29.7942449 59.9109176,29.7965509 59.9100609,29.7981498 59.9092957,29.7998057 59.9083976,29.8030102 59.9059898,29.8050787 59.9043168,29.8070128 59.9027675,29.808421 59.901584,29.8115535 59.8991442,29.8118721 59.8992339,29.8122763 59.8992912,29.8128203 59.8992985,29.8133579 59.899269,29.8135941 59.8992958,29.8137861 59.8993498,29.8142088 59.8998205,29.8155136 59.9009323,29.8157808 59.901237,29.8158592 59.9013666,29.8158487 59.9015202,29.8158082 59.9016693,29.8158468 59.9017625,29.8158828 59.9018493,29.8160818 59.9019732,29.816379 59.9020548,29.8170005 59.9022281,29.8171091 59.902292,29.8171829 59.9023666,29.8166942 59.9026907,29.8145795 59.9033723,29.8138484 59.9036454,29.8134412 59.9040316,29.8133627 59.9047328,29.8136423 59.9056825,29.8133823 59.906145,29.8128475 59.9068314,29.81219 59.9072521,29.8115227 59.9075793,29.8104337 59.907936))",531350.5822170302,,22156
1438331,3,"POLYGON((30.3361808 59.9884781,30.3361713 59.9885002,30.336165 59.9885151,30.3340417 59.9882947,30.3339741 59.9882713,30.3339554 59.9882298,30.3346789 59.9864222,30.3347198 59.986391,30.3348027 59.9863771,30.3361652 59.9865139,30.336624 59.98656,30.3377984 59.9866779,30.3377706 59.9867448,30.3372741 59.9879395,30.3371112 59.9882231,30.3370542 59.9882173,30.3363447 59.9881413,30.3362798 59.9883106,30.3362536 59.9883078,30.3362488 59.988319,30.3362003 59.9884326,30.3361924 59.988451,30.3361808 59.9884781))",36265.41186916875,,351
1576105,3,"POLYGON((30.2589805 59.963372,30.256283 59.9634635,30.2554305 59.9635451,30.254315 59.9636714,30.2540038 59.9631309,30.2541425 59.9631118,30.25412 59.9630701,30.254075 59.962987,30.2539266 59.9630089,30.253905 59.9629703,30.2536737 59.9625542,30.2536739 59.9625081,30.2536952 59.9624713,30.2537279 59.9624421,30.2538044 59.9624093,30.2538916 59.9623659,30.2539708 59.9623139,30.2540341 59.9622572,30.2540812 59.9622047,30.2541135 59.9621399,30.254126 59.9620737,30.2541297 59.9620414,30.2541457 59.962024,30.25418 59.9620119,30.2556303 59.9617772,30.2556528 59.9617739,30.2557087 59.9617634,30.2559826 59.9617202,30.2576344 59.9614531,30.2576743 59.9614466,30.2587943 59.9612705,30.2588817 59.96231,30.2589095 59.9625648,30.2589287 59.9626864,30.2589637 59.9631319,30.2589795 59.963333,30.2589805 59.963372))",56314.51747768278,,432
1576981,3,"POLYGON((30.1368215 60.1202687,30.134657 60.1206621,30.1322356 60.1211318,30.1303877 60.1215039,30.1299584 60.1215213,30.1160984 60.1243753,30.1159975 60.1241171,30.1158481 60.1240331,30.1152495 60.1236963,30.1123309 60.1220542,30.112838 60.1216429,30.114933 60.1211993,30.1152333 60.1210114,30.1170502 60.1205358,30.1175383 60.1204845,30.1237966 60.1186987,30.1240278 60.1186314,30.1251409 60.1198448,30.1259235 60.119765,30.1263381 60.1201401,30.1293816 60.1195536,30.129586 60.1190381,30.1291188 60.1185673,30.1292701 60.1185353,30.1297539 60.1184138,30.1300985 60.118334,30.13059 60.1180973,30.1307505 60.118165,30.1311207 60.1180755,30.1314585 60.118127,30.1322633 60.1184055,30.132729 60.1187526,30.1332852 60.1185847,30.133897 60.1189612,30.1341248 60.1191512,30.1340765 60.1191953,30.1341435 60.1192587,30.1341408 60.1193075,30.1341945 60.1193503,30.1343071 60.1194144,30.1343581 60.1195013,30.1345968 60.1195454,30.1348329 60.1195333,30.1349428 60.1195507,30.134975 60.1196095,30.1350287 60.1196296,30.1352271 60.1196028,30.135313 60.1195801,30.135431 60.1195708,30.1356 60.1196122,30.1356938 60.1196643,30.135924 60.11974,30.1362819 60.1200276,30.136636 60.1200852,30.1368215 60.1202687,30.1210636 60.1238488,30.1228417 60.1242028,30.1231303 60.1238036,30.1236969 60.1231682,30.1264513 60.1227252,30.1266563 60.1227447,30.1280695 60.1224939,30.1294143 60.1221403,30.1334829 60.1213799,30.1381515 60.1228261,30.1401719 60.1235296,30.1430162 60.1249562,30.1438204 60.1255132,30.1468413 60.1262655,30.1479986 60.1267345,30.1487244 60.126881,30.1490383 60.1289523,30.1491561 60.1293212,30.1493521 60.1296068,30.1498621 60.1297338,30.1500583 60.1301441,30.1463748 60.1309073,30.1383366 60.1297765,30.1316194 60.1288155,30.1322863 60.1277115,30.1303562 60.1271794,30.1185802 60.1247549,30.1186011 60.1241735,30.1205756 60.1238063,30.1210636 60.1238488,30.1368215 60.1202687))",1307424.9038209743,,57950
1576991,3,"POLYGON((30.1942422 60.1089487,30.193938 60.1087507,30.1926666 60.1089645,30.1924467 60.1086731,30.1928259 60.1085913,30.1926613 60.1084058,30.1917316 60.1086253,30.1915106 60.1088803,30.1912504 60.1089378,30.1905611 60.1088309,30.1898927 60.1089586,30.1900295 60.1091409,30.18955 60.1092365,30.1891517 60.1091126,30.1884719 60.1092162,30.1884066 60.1090468,30.1886626 60.1088314,30.189403 60.1087149,30.1886847 60.1083612,30.1876017 60.1085274,30.1862349 60.1076651,30.1855347 60.1080676,30.1847675 60.1083162,30.1844349 60.1078524,30.184105 60.1078805,30.1833513 60.1083243,30.184038 60.1085007,30.1845476 60.1082267,30.1846361 60.1084807,30.1843116 60.1086919,30.1814094 60.1089084,30.1812673 60.1077638,30.1800259 60.107081,30.1804268 60.1068063,30.1795656 60.106188,30.1796092 60.1060854,30.1808033 60.1055264,30.1828567 60.1045776,30.183577 60.1042967,30.1834517 60.1042062,30.1843795 60.1038811,30.1843222 60.1037473,30.1852867 60.1033228,30.1849798 60.1028982,30.1854308 60.1027983,30.1861072 60.1033727,30.1896644 60.1013623,30.1886313 60.1005018,30.1884369 60.1003633,30.191869 60.1001011,30.1939733 60.0994392,30.1950443 60.0990103,30.1960054 60.0986357,30.1980854 60.0979063,30.1984608 60.0977684,30.2020257 60.0971439,30.2031107 60.0967463,30.2018644 60.0960277,30.2024253 60.0957807,30.2043399 60.0957576,30.2047072 60.0955903,30.2049125 60.0949212,30.2148775 60.09524,30.2173005 60.0953791,30.2188042 60.0955574,30.2197814 60.0956987,30.220595 60.0958394,30.2216226 60.0960538,30.2232301 60.0964241,30.2249401 60.0969446,30.2262903 60.0974423,30.2277921 60.0981412,30.2326565 60.1005047,30.2302249 60.101361,30.2292038 60.1017103,30.2280885 60.1020682,30.226956 60.102378,30.2264732 60.1023894,30.2262806 60.1023766,30.2258563 60.1025345,30.2242845 60.1029275,30.2242014 60.1028633,30.223329 60.1030815,30.2212 60.1033553,30.2185017 60.10387,30.2163709 60.1042711,30.2163103 60.1044155,30.2154683 60.1045716,30.2107213 60.1055064,30.2083951 60.1059823,30.2083254 60.1060184,30.2084125 60.1061043,30.2084488 60.10614,30.2065229 60.1065263,30.2013463 60.1075677,30.2006623 60.1077722,30.1991738 60.1080482,30.1989331 60.1081033,30.1981393 60.108252,30.1980429 60.108244,30.1961555 60.1085963,30.19511 60.1087884,30.1942422 60.1089487))",2520272.988101464,,141012
1676228,3,"POLYGON((30.3216057 59.7340569,30.3240766 59.7363982,30.3261017 59.7384136,30.3259837 59.7384633,30.3170952 59.741638,30.3147696 59.7424731,30.3121634 59.7433171,30.3110871 59.7437494,30.309703 59.7436232,30.3088568 59.7428775,30.3085309 59.7425653,30.3044217 59.7385046,30.3141484 59.7359871,30.316082 59.7354867,30.3200527 59.7344589,30.3216057 59.7340569))",678482.1282366067,,22154
1694019,3,"POLYGON((30.2930927 60.0338758,30.2927184 60.0334484,30.2926574 60.0333722,30.2922549 60.0328699,30.2925957 60.0327917,30.2937663 60.0326582,30.294276 60.0332523,30.2945477 60.0335646,30.2930927 60.0338758))",10315.417227134109,,300
1694285,3,"POLYGON((30.308479 60.018768,30.308388 60.0187576,30.3083017 60.0187477,30.308247 60.0187414,30.3072085 60.0186349,30.3069709 60.0186095,30.3067314 60.0185838,30.3060078 60.018517,30.3063071 60.0175787,30.3066801 60.0175057,30.3069108 60.0175072,30.3070467 60.0174912,30.3077614 60.0162829,30.3077829 60.0162466,30.3079474 60.0162026,30.3109028 60.0165233,30.3109482 60.0165282,30.3114062 60.0165779,30.3117106 60.0167526,30.3119096 60.0168716,30.3119257 60.0169137,30.3117581 60.0172928,30.311577 60.0177024,30.3115433 60.0177712,30.31052 60.0176503,30.3104012 60.0179351,30.3104586 60.017939,30.3107723 60.0179762,30.3103643 60.0189284,30.3099403 60.0189099,30.3088803 60.0188141,30.308479 60.018768))",65377.015980526805,,1231
