feature_id,geometry_type,coordinates,geometry_format
way/4870954,LineString,"[[37.3996626, 55.7158207], [37.3992366, 55.7157967], [37.3988476, 55.7157892], [37.3985473, 55.7157645]]","LINESTRING(55.7158207 37.3996626,55.7157967 37.3992366,55.7157892 37.3988476,55.7157645 37.3985473)"
way/4870985,LineString,"[[37.3985473, 55.7157645], [37.3972182, 55.7157073], [37.3968255, 55.7156904]]","LINESTRING(55.7157645 37.3985473,55.7157073 37.3972182,55.7156904 37.3968255)"
way/4871028,LineString,"[[37.3991421, 55.7240659], [37.3992461, 55.7240782], [37.3993364, 55.7240799], [37.3994298, 55.7240703], [37.3994983, 55.7240507], [37.3995327, 55.7240346], [37.3995995, 55.7239931]]","LINESTRING(55.7240659 37.3991421,55.7240782 37.3992461,55.7240799 37.3993364,55.7240703 37.3994298,55.7240507 37.3994983,55.7240346 37.3995327,55.7239931 37.3995995)"
way/4871099,LineString,"[[37.3970302, 55.7175518], [37.3975169, 55.71773], [37.398107, 55.7179461], [37.3983015, 55.7180173], [37.398614, 55.7181371], [37.3994634, 55.7183863], [37.4000604, 55.7184377], [37.4013973, 55.7185161], [37.4015404, 55.7185231]]","LINESTRING(55.7175518 37.3970302,55.71773 37.3975169,55.7179461 37.398107,55.7180173 37.3983015,55.7181371 37.398614,55.7183863 37.3994634,55.7184377 37.4000604,55.7185161 37.4013973,55.7185231 37.4015404)"
way/4871185,LineString,"[[37.4004987, 55.7010034], [37.4003786, 55.7011698], [37.4003003, 55.7012966], [37.4002665, 55.701387], [37.4002602, 55.7014603], [37.4002865, 55.7015285], [37.400446, 55.7017578]]","LINESTRING(55.7010034 37.4004987,55.7011698 37.4003786,55.7012966 37.4003003,55.701387 37.4002665,55.7014603 37.4002602,55.7015285 37.4002865,55.7017578 37.400446)"
way/4871200,LineString,"[[37.3996544, 55.702284], [37.3998383, 55.7023678], [37.3999366, 55.7023907], [37.4000448, 55.7023935], [37.4001188, 55.7023826], [37.4002962, 55.7023235]]","LINESTRING(55.702284 37.3996544,55.7023678 37.3998383,55.7023907 37.3999366,55.7023935 37.4000448,55.7023826 37.4001188,55.7023235 37.4002962)"
way/4871205,LineString,"[[37.4007631, 55.7034286], [37.4006126, 55.7034698]]","LINESTRING(55.7034286 37.4007631,55.7034698 37.4006126)"
way/4871228,LineString,"[[37.4042088, 55.7230277], [37.4043257, 55.723031], [37.4057691, 55.7230703], [37.4060387, 55.723076], [37.4061993, 55.7230794], [37.4062466, 55.7230804]]","LINESTRING(55.7230277 37.4042088,55.723031 37.4043257,55.7230703 37.4057691,55.723076 37.4060387,55.7230794 37.4061993,55.7230804 37.4062466)"
way/5028788,LineString,"[[37.4022497, 55.7158818], [37.4025376, 55.7154111]]","LINESTRING(55.7158818 37.4022497,55.7154111 37.4025376)"
way/5137051,LineString,"[[37.7546233, 55.8175049], [37.7547568, 55.8175742], [37.7574829, 55.8189431], [37.758557, 55.8194825], [37.7586189, 55.8195135], [37.7590255, 55.8197305], [37.7609675, 55.8207597], [37.7619006, 55.8212548], [37.7619808, 55.8212974], [37.7623911, 55.8215166], [37.7625097, 55.821578]]","LINESTRING(55.8175049 37.7546233,55.8175742 37.7547568,55.8189431 37.7574829,55.8194825 37.758557,55.8195135 37.7586189,55.8197305 37.7590255,55.8207597 37.7609675,55.8212548 37.7619006,55.8212974 37.7619808,55.8215166 37.7623911,55.821578 37.7625097)"
way/5169378,LineString,"[[37.6156293, 55.7660162], [37.6156655, 55.765979], [37.6159015, 55.7657198], [37.6161074, 55.7654713], [37.6161776, 55.7653827], [37.6164281, 55.7650603], [37.6164418, 55.7650419], [37.6165515, 55.7648954], [37.6166038, 55.7648243], [37.6166972, 55.7646976]]","LINESTRING(55.7660162 37.6156293,55.765979 37.6156655,55.7657198 37.6159015,55.7654713 37.6161074,55.7653827 37.6161776,55.7650603 37.6164281,55.7650419 37.6164418,55.7648954 37.6165515,55.7648243 37.6166038,55.7646976 37.6166972)"
way/5169713,LineString,"[[37.6304052, 55.7565441], [37.6307436, 55.7563235], [37.6316859, 55.755656], [37.6329173, 55.7547646], [37.6330469, 55.754646], [37.6331465, 55.7545469], [37.633274, 55.7544049]]","LINESTRING(55.7565441 37.6304052,55.7563235 37.6307436,55.755656 37.6316859,55.7547646 37.6329173,55.754646 37.6330469,55.7545469 37.6331465,55.7544049 37.633274)"
way/5169728,LineString,"[[37.6352868, 55.7538551], [37.6352315, 55.7538518], [37.6351622, 55.7538513], [37.6350699, 55.7538621], [37.6350128, 55.7538811], [37.6349689, 55.7539134], [37.6349374, 55.7539485], [37.6349112, 55.7539883]]","LINESTRING(55.7538551 37.6352868,55.7538518 37.6352315,55.7538513 37.6351622,55.7538621 37.6350699,55.7538811 37.6350128,55.7539134 37.6349689,55.7539485 37.6349374,55.7539883 37.6349112)"
way/5169745,LineString,"[[37.6332242, 55.7523163], [37.6331757, 55.7521744], [37.6331588, 55.7521251]]","LINESTRING(55.7523163 37.6332242,55.7521744 37.6331757,55.7521251 37.6331588)"
way/5169769,LineString,"[[37.6241214, 55.7497242], [37.6238065, 55.749681], [37.6232449, 55.7496167], [37.6231059, 55.7496009], [37.622973, 55.7495877], [37.6223145, 55.7495276], [37.6217379, 55.749473], [37.6211636, 55.749408], [37.6206538, 55.7493348], [37.620472, 55.7493082], [37.6200005, 55.7492366], [37.6198062, 55.7492082], [37.6190699, 55.7490998], [37.6187014, 55.7490438], [37.6183589, 55.7489924], [37.6173935, 55.7488477], [37.6172073, 55.748822], [37.6170635, 55.7487992], [37.6168576, 55.748765], [37.6166812, 55.7487333], [37.6164398, 55.7486778], [37.6162211, 55.7486217], [37.6161131, 55.7485935], [37.6149617, 55.7482933], [37.6143799, 55.7481442]]","LINESTRING(55.7497242 37.6241214,55.749681 37.6238065,55.7496167 37.6232449,55.7496009 37.6231059,55.7495877 37.622973,55.7495276 37.6223145,55.749473 37.6217379,55.749408 37.6211636,55.7493348 37.6206538,55.7493082 37.620472,55.7492366 37.6200005,55.7492082 37.6198062,55.7490998 37.6190699,55.7490438 37.6187014,55.7489924 37.6183589,55.7488477 37.6173935,55.748822 37.6172073,55.7487992 37.6170635,55.748765 37.6168576,55.7487333 37.6166812,55.7486778 37.6164398,55.7486217 37.6162211,55.7485935 37.6161131,55.7482933 37.6149617,55.7481442 37.6143799)"
way/5169870,LineString,"[[37.579704, 55.8100963], [37.5795922, 55.8103009]]","LINESTRING(55.8100963 37.579704,55.8103009 37.5795922)"
way/5170148,LineString,"[[37.603928, 55.77284], [37.6038533, 55.7728263], [37.60357, 55.7727742], [37.6031341, 55.7726778], [37.6029224, 55.7726294], [37.602741, 55.7725803]]","LINESTRING(55.77284 37.603928,55.7728263 37.6038533,55.7727742 37.60357,55.7726778 37.6031341,55.7726294 37.6029224,55.7725803 37.602741)"
way/5170161,LineString,"[[37.4698208, 55.875607], [37.4695213, 55.8755096], [37.4689531, 55.875325], [37.4688593, 55.8752945], [37.46852, 55.8751843], [37.4682831, 55.8751055], [37.4678871, 55.8749738], [37.4676064, 55.8748805], [37.4675731, 55.8748694], [37.4674012, 55.8747865]]","LINESTRING(55.875607 37.4698208,55.8755096 37.4695213,55.875325 37.4689531,55.8752945 37.4688593,55.8751843 37.46852,55.8751055 37.4682831,55.8749738 37.4678871,55.8748805 37.4676064,55.8748694 37.4675731,55.8747865 37.4674012)"
way/5170186,LineString,"[[37.4834824, 55.8598298], [37.48322, 55.8600428], [37.4825541, 55.860583], [37.4823841, 55.8607209], [37.4823174, 55.860775], [37.4819608, 55.8610607], [37.4817667, 55.8612163], [37.4817007, 55.8612692], [37.4813231, 55.8615917], [37.4806596, 55.8621689], [37.4805816, 55.8622358], [37.4800921, 55.8626559], [37.4798561, 55.8628584], [37.479809, 55.8629001], [37.4797618, 55.8629418], [37.4795269, 55.8631508], [37.4793428, 55.8633193], [37.4783935, 55.864236], [37.4781788, 55.8644433], [37.4773891, 55.8651738], [37.4772038, 55.8653303], [37.477084, 55.8654467], [37.4769784, 55.8655492], [37.4766723, 55.8658503], [37.4764525, 55.8660554]]","LINESTRING(55.8598298 37.4834824,55.8600428 37.48322,55.860583 37.4825541,55.8607209 37.4823841,55.860775 37.4823174,55.8610607 37.4819608,55.8612163 37.4817667,55.8612692 37.4817007,55.8615917 37.4813231,55.8621689 37.4806596,55.8622358 37.4805816,55.8626559 37.4800921,55.8628584 37.4798561,55.8629001 37.479809,55.8629418 37.4797618,55.8631508 37.4795269,55.8633193 37.4793428,55.864236 37.4783935,55.8644433 37.4781788,55.8651738 37.4773891,55.8653303 37.4772038,55.8654467 37.477084,55.8655492 37.4769784,55.8658503 37.4766723,55.8660554 37.4764525)"
way/5170228,LineString,"[[37.4812756, 55.8795969], [37.4814706, 55.8794907], [37.4816228, 55.879423], [37.4816859, 55.8793871], [37.4817251, 55.879358], [37.4817802, 55.8792943], [37.4818367, 55.8792149]]","LINESTRING(55.8795969 37.4812756,55.8794907 37.4814706,55.879423 37.4816228,55.8793871 37.4816859,55.879358 37.4817251,55.8792943 37.4817802,55.8792149 37.4818367)"
way/5170233,LineString,"[[37.4828095, 55.8792793], [37.4828115, 55.8794576], [37.4827763, 55.879641], [37.4827471, 55.8797931], [37.4827337, 55.8799943], [37.4827458, 55.880229], [37.4827545, 55.8804249], [37.4827565, 55.8806218]]","LINESTRING(55.8792793 37.4828095,55.8794576 37.4828115,55.879641 37.4827763,55.8797931 37.4827471,55.8799943 37.4827337,55.880229 37.4827458,55.8804249 37.4827545,55.8806218 37.4827565)"
way/5170244,LineString,"[[37.5237209, 55.861955], [37.5238463, 55.8618863], [37.524371, 55.8615991]]","LINESTRING(55.861955 37.5237209,55.8618863 37.5238463,55.8615991 37.524371)"
way/5170363,LineString,"[[37.474213, 55.8544651], [37.4740903, 55.8544347], [37.4732941, 55.8542464]]","LINESTRING(55.8544651 37.474213,55.8544347 37.4740903,55.8542464 37.4732941)"
way/5170644,LineString,"[[37.5135732, 55.8559826], [37.5138428, 55.8561254]]","LINESTRING(55.8559826 37.5135732,55.8561254 37.5138428)"
way/5170649,LineString,"[[37.4915557, 55.866941], [37.4916396, 55.8670401], [37.4916756, 55.8670761]]","LINESTRING(55.866941 37.4915557,55.8670401 37.4916396,55.8670761 37.4916756)"
way/5170796,LineString,"[[37.5142275, 55.8606941], [37.5143872, 55.8607808], [37.5150842, 55.8612847], [37.515745, 55.8617639], [37.5179878, 55.863048], [37.5186318, 55.8634208], [37.5186818, 55.8634497], [37.5189917, 55.8636291], [37.5193214, 55.8638112], [37.519438, 55.8638755]]","LINESTRING(55.8606941 37.5142275,55.8607808 37.5143872,55.8612847 37.5150842,55.8617639 37.515745,55.863048 37.5179878,55.8634208 37.5186318,55.8634497 37.5186818,55.8636291 37.5189917,55.8638112 37.5193214,55.8638755 37.519438)"
way/5170861,LineString,"[[37.5151602, 55.8572155], [37.5150732, 55.8572795], [37.5143816, 55.8577739], [37.5142975, 55.8578395], [37.5142338, 55.8578831], [37.5136647, 55.8583071], [37.5133884, 55.8585505], [37.5132787, 55.8587089], [37.5131688, 55.8589818], [37.5131493, 55.8590493], [37.5131021, 55.8591816], [37.5130668, 55.8593659], [37.5130709, 55.8594713], [37.5131947, 55.8597684], [37.5132911, 55.8599649], [37.5133554, 55.860075], [37.5134076, 55.8601369], [37.5135682, 55.8602783], [37.5136842, 55.8603794]]","LINESTRING(55.8572155 37.5151602,55.8572795 37.5150732,55.8577739 37.5143816,55.8578395 37.5142975,55.8578831 37.5142338,55.8583071 37.5136647,55.8585505 37.5133884,55.8587089 37.5132787,55.8589818 37.5131688,55.8590493 37.5131493,55.8591816 37.5131021,55.8593659 37.5130668,55.8594713 37.5130709,55.8597684 37.5131947,55.8599649 37.5132911,55.860075 37.5133554,55.8601369 37.5134076,55.8602783 37.5135682,55.8603794 37.5136842)"
way/5170885,LineString,"[[37.4878691, 55.8670706], [37.4862164, 55.8670086], [37.4861058, 55.8670043]]","LINESTRING(55.8670706 37.4878691,55.8670086 37.4862164,55.8670043 37.4861058)"
way/5173774,LineString,"[[37.492359, 55.8597076], [37.4924591, 55.8596031], [37.492632, 55.8594423], [37.4929482, 55.8591649], [37.4933255, 55.8588333], [37.4936535, 55.8585518], [37.4941676, 55.8581055], [37.4942492, 55.8580358], [37.4942962, 55.8579957], [37.4943915, 55.8579143], [37.4944625, 55.8578536], [37.4944918, 55.8578287], [37.4946133, 55.8577243], [37.4947714, 55.8575865], [37.4949582, 55.8574259], [37.4952011, 55.8572114], [37.4954689, 55.8569796], [37.4956758, 55.8567961]]","LINESTRING(55.8597076 37.492359,55.8596031 37.4924591,55.8594423 37.492632,55.8591649 37.4929482,55.8588333 37.4933255,55.8585518 37.4936535,55.8581055 37.4941676,55.8580358 37.4942492,55.8579957 37.4942962,55.8579143 37.4943915,55.8578536 37.4944625,55.8578287 37.4944918,55.8577243 37.4946133,55.8575865 37.4947714,55.8574259 37.4949582,55.8572114 37.4952011,55.8569796 37.4954689,55.8567961 37.4956758)"
way/5173788,LineString,"[[37.5253956, 55.860522], [37.5253715, 55.8604919], [37.5253701, 55.8604663], [37.5253956, 55.8604438], [37.5257081, 55.8602729], [37.5257349, 55.8602428], [37.5257242, 55.8601893], [37.5256798, 55.8601519], [37.5256424, 55.8601359], [37.5255726, 55.8601216], [37.5254855, 55.8601201], [37.5253862, 55.8601251], [37.5253111, 55.8601118], [37.5250189, 55.8598275], [37.5248659, 55.8596467], [37.5240102, 55.8590069], [37.5238064, 55.8588744], [37.523635, 55.8587836], [37.5234523, 55.8586983], [37.5232699, 55.8586411], [37.5231305, 55.8586215], [37.5230323, 55.8586228], [37.5222683, 55.8588976], [37.5220206, 55.8589048], [37.5218385, 55.8588584], [37.5215249, 55.8586788], [37.5213426, 55.858662], [37.520368, 55.8590879], [37.5202408, 55.8591372], [37.5195196, 55.8594581], [37.5191866, 55.859603], [37.5186345, 55.8598472]]","LINESTRING(55.860522 37.5253956,55.8604919 37.5253715,55.8604663 37.5253701,55.8604438 37.5253956,55.8602729 37.5257081,55.8602428 37.5257349,55.8601893 37.5257242,55.8601519 37.5256798,55.8601359 37.5256424,55.8601216 37.5255726,55.8601201 37.5254855,55.8601251 37.5253862,55.8601118 37.5253111,55.8598275 37.5250189,55.8596467 37.5248659,55.8590069 37.5240102,55.8588744 37.5238064,55.8587836 37.523635,55.8586983 37.5234523,55.8586411 37.5232699,55.8586215 37.5231305,55.8586228 37.5230323,55.8588976 37.5222683,55.8589048 37.5220206,55.8588584 37.5218385,55.8586788 37.5215249,55.858662 37.5213426,55.8590879 37.520368,55.8591372 37.5202408,55.8594581 37.5195196,55.859603 37.5191866,55.8598472 37.5186345)"
way/5173791,LineString,"[[37.5045034, 55.8622358], [37.504538, 55.8621196], [37.5045825, 55.8620698], [37.5046527, 55.8620195], [37.5048214, 55.8619537]]","LINESTRING(55.8622358 37.5045034,55.8621196 37.504538,55.8620698 37.5045825,55.8620195 37.5046527,55.8619537 37.5048214)"
way/5184664,LineString,"[[37.4897038, 55.8494756], [37.4896577, 55.8494171], [37.4894753, 55.8492003], [37.4894362, 55.8491488], [37.489289, 55.8489548]]","LINESTRING(55.8494756 37.4897038,55.8494171 37.4896577,55.8492003 37.4894753,55.8491488 37.4894362,55.8489548 37.489289)"
way/5184666,LineString,"[[37.4897038, 55.8494756], [37.4902886, 55.8499113]]","LINESTRING(55.8494756 37.4897038,55.8499113 37.4902886)"
